BreweryID,BreweryName,BreweryAddress,BrewerID
1,NorthGate Brewing,"Minneapolis, MN",1
2,Against the Grain Brewery,"1576 Bardstown Rd, Louisville, KY 40205",2
3,Jack's Abby Craft Lagers,"100 CLINTON STREET, FRAMINGHAM, MA 01702",3
4,Mike Hess Brewing Company,"3812 Grim Ave, San Diego, CA 92104",4
5,Fort Point Beer Company,"701 HAIGHT STREET, SAN FRANCISCO, CA 94117",5
6,COAST Brewing Company,"Charleston, SC",6
7,Great Divide Brewing Company,"2201 Arapahoe St, Denver, CO 80205",7
8,Tapistry Brewing,"4236 Lake St, Bridgman, MI 49106",8
9,Big Lake Brewing,"13 W 7th St, Holland, MI 49423",9
10,Brewery Vivant,"925 Cherry St SE, Grand Rapids, MI 49506",10
11,Abita Brewing Company,"21084 LA-36, Covington, LA 70433",11
12,AC Golden Brewing Company,"1601 19th Street, Unit 101, Denver, CO 80202",12
13,7venth Sun,"6809 N Nebraska Ave, Tampa, FL 33604",13
14,7 Seas Brewing Company,"2905 Harborview Dr, Gig Harbor, WA 98335",14
15,450 North Brewing Company,"8111 E 450 N, Columbus, IN 47203",15
16,4 Hands Brewing Company,"1220 S 8th St, St. Louis, MO 63104",16
17,3 Daughters Brewing,"222 22nd St S, St. Petersburg, FL 33712",17
18,21st Amendment Brewery,"563 2nd St, San Francisco, CA 94107",18
19,Maui Brewing Company,"605 Lipoa Pkwy, Kihei, HI 96753",19
20,18th Street Brewery,"5725 Miller Ave, Gary, IN 46403",20
21,10 Barrel Brewing Company,"1411 NW Flanders St, Portland, OR 97209",21
22,Adirondack Pub,"33 Canada St, Lake George, NY 12845",
23,The Waterfront Cafe,"1320 N Doctor Martin Luther King Dr, Milwakee, WI, 53212",
24,559 Local Brewing,"608 4th St, Clovis, CA, 93612",
25,Shack The,"1103 Mills St, Black Earth, WI, 53515-9454",
26,Flat12 Bierworks,"130 W Riverside Dr, Jefferson, Utica, 47130",
27,Redhook Ale Brewery Inc,"14300 N E 145th St, Woodinville, WA, 98072",
28,Gold Camp Brewing Co.,"1007 S Tejon St, Colorado Springs, CO, 80903",
29,Atwater Block Brewery,"237 Jos Campau, Detroit, MI, 48207",
30,Thristy Planet,"11160 Circle Dr, Aiustin, TX, 78736",
31,Soup To Nuts,"96 Union St, Brewer, ME, 04412-2020",
32,Moat Mountain Smoke House & Brewing Co.,"3378 White Mountain Hwy, N Conway, NH, 3860",
33,Black Dog Brewing Company,"Kentor St, Iselin, NJ, 8830",
34,Lws Brewery,"4098 Business Park Dr, Amarillo, TX, 79110",
35,Shoeworks Loft,"1924 N Hubbard St, Milwakee, WI, 53212",
36,Coastal Extreme Brewing Company,"293 Jt Connell Hwy, Newport, RI, 2840",
37,La Legendaria,"Sierra Leona 720, San Antonia, TX, 78240",
38,Iron Oak Brewing Inc,"3942 Valley Ave, Pleasonton, CA, 94566",
39,Twizted Brews Brewhouse,"7684 Madden Dr, Fishers, IN, 46038",
40,Rite Buy Beverage,"5300 W Baltimore Ave, Baltimore, MD, 19018",
